variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number	annotation_1	annotation_2	annotation_3
v62	inversion_bnd_complex	1.76011	0	0.01	0	0.52988	0.74372	-0.78982
v63	snv	-0.79182	0	0.01	0	0.35469	-0.04764	1.08704
v64	snv	-0.79182	0	0.08613	0	-0.82741	0.2334	-1.24428
v65	snv	-0.79182	0	0.01	0	-0.18226	-0.05779	0.46725
v66	snv	-0.79182	0	0.02085	0	0.01434	0.73583	0.92118
v67	str_vntr_repeat	1.15642	1	0.03615	0	-1.24072	-0.1329	0.07725
v68	str_vntr_repeat	1.1074	1	0.01059	0	0.24234	0.30784	1.24668
v69	snv	-0.79182	0	0.01	0	0.3009	-1.69418	0.64424
v70	snv	-0.79182	0	0.01	0	0.80585	0.15951	1.34752
v71	snv	-0.79182	1	0.01	0	0.0749	1.28324	0.01798
v72	small_indel	-0.05904	0	0.01	0	0.20977	-0.54273	-0.61413
v73	other_complex_sv	1.42239	1	0.01	0	0.81367	1.73603	-0.34335
v74	snv	-0.79182	0	0.05779	0	-0.34139	1.41337	0.50869
v75	snv	-0.79182	0	0.01	0	0.08361	-1.32803	-0.49039
v76	snv	-0.79182	0	0.02248	0	1.22574	0.36226	0.79534
v77	str_vntr_repeat	1.6644	1	0.06728	0	-2.10646	-1.08095	-1.09987
v78	snv	-0.79182	0	0.05579	0	-0.45937	-2.41401	1.21993
v79	small_indel	-0.04622	0	0.01	0	-0.62223	0.02318	-0.63202
v80	small_indel	-0.2495	0	0.01	0	-0.22867	0.49457	-0.11436
v81	snv	-0.79182	1	0.01	0	1.50772	0.47243	-0.84231
v82	snv	-0.79182	0	0.04955	0	-0.30914	0.16994	-0.62669
v83	snv	-0.79182	0	0.01	0	1.09428	0.78605	1.93784
v84	duplication_short	1.56494	0	0.01	1	0.14081	0.19353	0.19035
v85	snv	-0.79182	0	0.01	0	0.55925	-0.33696	-0.22854
v86	inversion_bnd_complex	0.46017	1	0.01	0	0.34274	0.24791	-0.57074
v87	deletion_short	0.29307	0	0.01	1	-1.48902	0.61941	1.45631
v88	other_complex_sv	1.65951	0	0.01	0	0.57627	-0.66226	0.46105
v89	snv	-0.79182	0	0.06156	0	-0.275	0.87802	1.95719
v90	small_indel	-0.01186	0	0.01	0	0.20432	-0.1559	-1.19378
v91	snv	-0.79182	0	0.06071	0	-1.80922	-0.62261	-0.0291
v92	duplication_long	2.1227	0	0.01	1	-0.29486	-1.30477	0.64786
v93	str_vntr_repeat	1.0199	1	0.01	0	0.21544	-0.04261	-0.45499
v94	snv	-0.79182	0	0.01	0	-0.65546	1.77871	2.29083
v95	deletion_short	1.92407	0	0.02832	1	-1.57876	0.68054	-0.0967
v96	snv	-0.79182	0	0.01065	0	1.25206	-0.193	-0.77739
v97	inversion_bnd_complex	1.19195	0	0.01885	0	0.2437	-1.58354	0.63239
v98	other_complex_sv	1.48898	0	0.01	0	1.72989	-0.46712	-1.11136
v99	snv	-0.79182	1	0.01	0	-1.47252	-0.15877	-1.43666
v100	snv	-0.79182	0	0.04592	0	-0.90614	-1.20316	-1.48271
v101	snv	-0.79182	0	0.0194	0	-0.68807	1.36644	-0.10202
v102	duplication_long	1.3292	0	0.01	1	1.11483	0.01064	-0.67003
v103	inversion_bnd_complex	1.60482	0	0.01242	0	-0.70721	1.13962	-0.79351
v104	snv	-0.79182	1	0.04235	0	0.0706	0.79228	1.29506
v105	snv	-0.79182	0	0.13582	0	0.06333	-0.98177	-0.10276
v106	deletion_short	1.41511	0	0.01	1	-1.16948	1.27262	0.61766
v107	snv	-0.79182	0	0.01	0	0.55223	-0.7227	-0.12368
v108	snv	-0.79182	0	0.01	0	0.39429	0.34139	0.095
v109	snv	-0.79182	0	0.01	0	0.17439	-1.22183	-0.53168
v110	snv	-0.79182	0	0.0412	0	0.35546	-0.17663	0.75774
v111	snv	-0.79182	0	0.01	0	0.92352	0.50479	1.48578
v112	snv	-0.79182	0	0.04466	0	0.97195	0.02242	0.39722
v113	other_complex_sv	0.33635	0	0.01	0	-0.05011	0.13131	0.43032
v114	snv	-0.79182	0	0.03895	0	0.4005	-0.66191	-0.88314
v115	snv	-0.79182	0	0.01	0	0.19527	-1.33245	-0.98437
v116	snv	-0.79182	0	0.02675	0	-0.48194	-0.2157	0.93632
v117	snv	-0.79182	0	0.01	0	-1.24577	0.11303	-0.5837
v118	snv	-0.79182	1	0.01	0	-1.27435	0.57406	1.16843
v119	inversion_bnd_complex	1.17888	0	0.01	0	0.19311	-0.05254	-0.7089
v120	snv	-0.79182	0	0.01	0	0.34756	1.11981	0.87892
v121	other_complex_sv	1.34049	0	0.02547	0	-0.00871	0.19241	-0.82407
v122	deletion_short	1.04829	0	0.01	1	0.81775	-0.06649	1.2535
v123	snv	-0.79182	0	0.02536	0	1.24355	-1.00127	-2.00886
v124	deletion_short	1.24846	0	0.03094	1	0.73737	-0.55356	-1.08135
v125	snv	-0.79182	0	0.04448	0	0.63325	1.61183	-0.96107
v126	small_indel	-0.41298	0	0.01	0	0.55742	2.29571	0.8632
v127	small_indel	-0.32725	0	0.0115	0	-0.28884	-1.03323	-0.11482
v128	snv	-0.79182	0	0.06496	0	-0.4304	0.86985	0.78546
v129	snv	-0.79182	0	0.01	0	0.12044	0.16326	-0.17662
v130	str_vntr_repeat	1.52586	1	0.01	0	1.27173	-1.41166	0.12623
v131	deletion_long	1.61039	0	0.01	1	-0.72945	0.99677	1.25925
v132	snv	-0.79182	0	0.02299	0	-0.41332	1.17672	-2.1873
v133	snv	-0.79182	0	0.01	0	0.85573	0.7486	-0.60817
v134	deletion_short	2.11242	0	0.01212	1	0.55855	0.06336	1.46372
v135	snv	-0.79182	0	0.01	0	-0.27514	0.59639	0.28967
v136	snv	-0.79182	0	0.05184	0	-0.49248	-0.01159	-0.93559
v137	snv	-0.79182	0	0.01	0	-0.87422	-0.91407	0.58031
v138	snv	-0.79182	0	0.05344	0	-1.37377	-2.09703	0.05588
v139	small_indel	-0.05254	0	0.01	0	-0.30516	0.66814	-1.81843
v140	duplication_short	1.04479	0	0.01	1	0.74783	0.0154	-2.65089
v141	snv	-0.79182	0	0.01	0	2.60098	0.71572	-0.5603
v142	snv	-0.79182	0	0.03212	0	0.97277	0.61754	-3.40282
v143	str_vntr_repeat	0.71217	1	0.0215	0	-0.96593	-1.31568	0.16612
v144	snv	-0.79182	0	0.01	0	0.41484	0.12135	-0.20733
v145	snv	-0.79182	1	0.01	0	0.28568	-0.84471	-0.39577
v146	deletion_short	0.4469	0	0.01	1	0.20141	-0.76662	-0.56767
v147	other_complex_sv	0.63644	0	0.01	0	1.74762	0.84254	-1.18765
v148	duplication_short	2.07134	0	0.01	1	0.10613	-0.33676	0.61523
v149	snv	-0.79182	0	0.01	0	0.17943	-0.13571	-1.3059
v150	snv	-0.79182	0	0.04659	0	0.10242	-0.85188	-0.61679
v151	snv	-0.79182	0	0.15604	0	0.50256	-0.86996	1.92543
v152	snv	-0.79182	0	0.01866	0	-0.82745	0.26312	-0.90374
v153	small_indel	-0.26642	0	0.01	0	1.09645	0.1031	-1.36941
v154	deletion_long	0.84701	0	0.01	1	1.2892	-0.21576	0.01396
v155	snv	-0.79182	0	0.01	0	1.54769	-0.88372	1.02209
v156	snv	-0.79182	0	0.01	0	-0.83711	-1.06477	0.22905
v157	small_indel	-0.04622	0	0.01	0	1.56712	0.15817	-0.19519
v158	snv	-0.79182	0	0.01	0	0.75191	-1.38977	-0.88258
v159	snv	-0.79182	0	0.01	0	0.06703	0.16113	0.77107
v160	inversion_bnd_complex	1.17066	0	0.01	0	-0.41937	0.37294	0.57137
v161	snv	-0.79182	0	0.05312	0	-0.58945	0.49274	-0.67539
v162	other_complex_sv	0.25229	0	0.01	0	0.49941	0.77855	-1.18544
v163	inversion_bnd_complex	0.60071	1	0.01	0	-0.22106	-0.12458	0.72182
v164	snv	-0.79182	0	0.07731	0	-1.31523	-0.42556	1.38727
v165	insertion_mei	1.05241	0	0.01	0	-1.97545	0.45615	1.04782
v166	snv	-0.79182	0	0.01	0	0.80882	-0.18215	-0.26789
v167	snv	-0.79182	0	0.02904	0	0.57899	0.94357	1.27153
v168	other_complex_sv	2.04728	0	0.01	0	0.20729	1.27567	-0.03984
v169	snv	-0.79182	0	0.14257	0	0.47868	-1.18402	-1.1811
v170	inversion_bnd_complex	0.9241	0	0.01	0	-0.02454	-1.51414	-0.13547
v171	snv	-0.79182	0	0.01	0	0.80217	0.60014	-0.85396
v172	snv	-0.79182	1	0.01	0	0.43945	0.03774	-0.94126
v173	snv	-0.79182	0	0.02009	0	1.11201	0.84232	-3.30096
v174	snv	-0.79182	0	0.01	0	-0.24743	0.35735	2.61039
v175	snv	-0.79182	0	0.01	0	-0.5016	1.97274	-0.86526
v176	snv	-0.79182	0	0.01	0	-1.50305	-0.19709	1.13838
v177	snv	-0.79182	0	0.12749	0	0.51112	0.98548	0.23561
v178	snv	-0.79182	0	0.05315	0	0.38923	-1.46574	1.00308
v179	deletion_long	1.33717	0	0.01	1	-0.02107	-1.85061	-1.63672
v180	snv	-0.79182	0	0.01	0	-1.13657	-0.54391	-1.36863
v181	snv	-0.79182	0	0.01118	0	0.46811	-1.06434	0.47194
v182	snv	-0.79182	0	0.01068	0	-0.34743	1.45116	-0.8284
v183	snv	-0.79182	0	0.02978	0	0.51386	-0.33232	-0.11365
v184	snv	-0.79182	0	0.01	0	1.52353	0.53109	0.55345
v185	snv	-0.79182	0	0.21749	0	-0.81672	0.6719	-0.44313
v186	inversion_bnd_complex	1.07356	0	0.01	0	1.52752	1.36182	0.30239
v187	deletion_short	1.46239	0	0.0148	1	0.00279	-0.18168	-0.74966
v188	deletion_long	0.79235	0	0.01	1	1.51903	0.89266	0.56698
v189	snv	-0.79182	0	0.01	0	-0.00791	0.85242	-1.73528
v190	small_indel	-0.19278	0	0.01	0	0.14433	0.2394	2.78238
v191	snv	-0.79182	0	0.04042	0	1.28209	0.76732	0.42199
v192	deletion_short	1.37243	0	0.01	1	0.12318	0.67225	-2.49419
v193	deletion_short	0.53164	0	0.01	1	-1.50471	0.7201	0.53861
v194	duplication_long	0.59337	0	0.01	1	-1.90323	-0.79975	-0.69397
v195	duplication_short	0.89554	0	0.01	1	-0.77151	0.06578	1.37695
v196	snv	-0.79182	0	0.01	0	-0.24426	0.61706	0.10881
v197	snv	-0.79182	0	0.01	0	-0.71079	-0.70285	0.52213
v198	snv	-0.79182	0	0.01	0	-1.03973	-1.18275	-1.10621
v199	duplication_short	1.4599	0	0.01	1	0.47283	1.73435	-0.11149
v200	snv	-0.79182	0	0.05772	0	0.1613	0.56514	1.03062
v201	snv	-0.79182	0	0.01	0	0.73521	-0.58644	-1.54474
v202	str_vntr_repeat	0.39672	1	0.01	0	-1.43605	-1.02846	0.05857
v203	other_complex_sv	1.74286	0	0.02483	0	1.93083	-0.6049	-0.84442
v204	snv	-0.79182	0	0.01	0	1.8208	-1.42082	1.56121
v205	deletion_short	1.44367	0	0.01062	1	-0.17419	1.75825	-0.29296
v206	other_complex_sv	0.23638	0	0.01	0	-0.43849	1.32713	-1.52026
v207	other_complex_sv	0.47857	0	0.01	0	0.25547	-1.18539	-0.12542
v208	insertion_mei	1.06099	0	0.01	0	0.66828	-0.76504	0.58913
v209	snv	-0.79182	0	0.03079	0	-1.19828	0.42182	-1.83491
v210	insertion_mei	1.43469	0	0.01	0	0.41163	-0.23272	0.56702
v211	snv	-0.79182	0	0.01	0	0.44902	1.02613	-0.98228
v212	insertion_mei	1.19404	0	0.01	0	0.00622	-0.65431	0.34874
v213	insertion_mei	0.55209	0	0.01858	0	0.7292	-1.56242	0.89859
v214	duplication_long	1.15495	0	0.04965	1	-0.08581	2.85389	1.32521
v215	duplication_long	0.94739	0	0.01	1	1.18162	-0.673	0.84913
v216	snv	-0.79182	0	0.01	0	0.46746	-0.08433	-2.35238
v217	deletion_long	0.49507	0	0.01	1	-2.25207	-0.35686	1.8747
v218	duplication_short	0.69473	0	0.01	1	-0.6022	-0.26378	1.29058
v219	small_indel	-0.05904	0	0.01	0	-0.85609	-2.13364	-0.2893
v220	deletion_short	1.32275	0	0.01	1	0.32408	-2.20466	-1.22119
v221	duplication_long	1.88662	0	0.01	1	0.55218	-0.03988	-0.55829
v222	duplication_long	1.16146	0	0.01	1	-1.2943	1.00178	1.41168
v223	snv	-0.79182	0	0.01007	0	-0.85121	0.45119	-0.1231
v224	snv	-0.79182	0	0.02474	0	-1.23272	-1.0499	0.72544
v225	snv	-0.79182	0	0.17192	0	-1.25023	-0.51587	0.81201
v226	other_complex_sv	0.67056	1	0.01	0	1.66705	-0.12448	-0.20345
v227	snv	-0.79182	0	0.01	0	1.26863	1.93549	-1.11252
v228	small_indel	-0.16926	0	0.01	0	-0.54236	-1.55966	0.55075
v229	snv	-0.79182	0	0.01	0	-0.15315	0.59463	-1.29995
v230	snv	-0.79182	0	0.01293	0	0.06747	0.24903	-0.50512
v231	snv	-0.79182	0	0.01	0	-1.67333	-1.41433	-0.03009
v232	deletion_short	0.66386	0	0.01	1	0.22178	0.06872	-0.21511
v233	deletion_long	0.28222	0	0.01	1	-0.61597	-0.85749	-0.24437
v234	duplication_short	0.21495	0	0.01125	1	1.10172	-0.19608	-0.53408
v235	snv	-0.79182	0	0.02636	0	0.86732	0.12285	0.62888
v236	snv	-0.79182	0	0.01283	0	0.99301	-0.42614	-2.03486
v237	snv	-0.79182	0	0.01683	0	-0.6053	0.62491	0.29339
v238	snv	-0.79182	0	0.02973	0	-0.71036	0.60737	-0.85977
v239	insertion_mei	0.88096	0	0.01	0	-0.43454	2.01483	0.23169
v240	small_indel	0.01769	0	0.01	0	0.63015	-0.57537	-1.26282
v241	small_indel	0.01769	0	0.01	0	0.25494	-0.02652	0.31097
v242	insertion_mei	1.64216	0	0.01	0	0.06691	2.44943	-0.78471
v243	snv	-0.79182	0	0.01	0	0.36361	-0.22863	0.87551
v244	snv	-0.79182	1	0.03396	0	-0.21443	0.17544	-0.40361
v245	snv	-0.79182	1	0.01	0	0.21293	0.11631	-0.52096
v246	snv	-0.79182	0	0.01	0	0.05235	-1.38466	1.50526
v247	deletion_long	1.15417	0	0.01	1	0.16809	-0.47472	1.33221
v248	snv	-0.79182	1	0.06997	0	-0.18124	0.53313	-1.95711
v249	snv	-0.79182	0	0.01	0	0.5522	-1.00814	-0.37941
v250	small_indel	-0.04622	0	0.01	0	0.33415	-0.54859	0.72437
v251	deletion_long	1.71043	0	0.01	1	0.41695	-0.50383	1.29591
v252	snv	-0.79182	0	0.05508	0	-0.07609	-1.51063	-0.29292
v253	deletion_short	1.48511	0	0.04199	1	-0.15088	-0.39142	-0.0736
v254	duplication_long	1.64255	0	0.01	1	-0.96649	-0.89331	0.80875
v255	other_complex_sv	0.5729	0	0.02777	0	1.48701	0.27828	0.91631
v256	inversion_bnd_complex	1.39025	0	0.01	0	0.38423	-0.38599	-0.06637
v257	snv	-0.79182	0	0.03579	0	0.15679	0.65099	0.04324
v258	snv	-0.79182	1	0.01	0	0.39225	0.96701	1.15599
v259	str_vntr_repeat	1.60512	1	0.01	0	-2.0568	1.10108	-0.17571
v260	deletion_short	1.77912	0	0.01	1	-0.44746	-0.17856	0.00812
v261	snv	-0.79182	0	0.0458	0	2.32992	0.1537	0.57907
v262	snv	-0.79182	0	0.01	0	-0.78094	-0.4299	2.47606
v263	deletion_long	0.72099	0	0.01	1	-0.77475	0.4305	-1.46663
v264	insertion_mei	1.21398	0	0.01	0	-1.76283	-0.34209	1.0693
v265	snv	-0.79182	0	0.09791	0	-0.08013	0.10261	-0.86011
v266	snv	-0.79182	0	0.01	0	-0.4776	-0.97385	1.58692
v267	snv	-0.79182	0	0.01	0	-0.23341	2.4998	0.68442
v268	snv	-0.79182	0	0.01	0	-0.73202	-1.25779	-0.53273
v269	snv	-0.79182	0	0.01	0	1.16067	1.29642	0.41217
v270	small_indel	-0.02271	0	0.01496	0	0.8311	0.28024	1.11168
v271	snv	-0.79182	0	0.01	0	0.33647	-0.53905	0.1877
v272	duplication_long	0.77328	0	0.05428	1	0.50349	0.45569	0.83584
v273	snv	-0.79182	0	0.01	0	-0.13665	-0.58837	0.05798
v274	snv	-0.79182	0	0.01	0	1.35183	-0.00478	0.13948
v275	snv	-0.79182	0	0.01	0	0.92957	-0.06503	1.53429
v276	other_complex_sv	1.32502	0	0.02035	0	-0.89216	0.54755	0.40445
v277	snv	-0.79182	0	0.01	0	0.78577	-0.90156	0.91768
v278	small_indel	-0.28482	0	0.01	0	-0.67893	0.16535	-0.06318
v279	snv	-0.79182	0	0.01311	0	-1.05973	-0.94953	0.35541
v280	inversion_bnd_complex	1.97051	0	0.01822	0	0.00575	0.01476	-0.7718
v281	snv	-0.79182	0	0.09423	0	0.64845	-1.33106	1.77846
v282	insertion_mei	1.92989	0	0.01	0	-2.00029	-2.41817	0.9185
v283	snv	-0.79182	0	0.14236	0	1.10514	-1.94179	-0.13967
v284	insertion_mei	0.46746	0	0.01	0	0.50109	-0.74013	-0.49411
v285	snv	-0.79182	1	0.01	0	0.63417	-0.45156	-1.02524
v286	snv	-0.79182	0	0.01	0	-1.67811	0.63127	0.54087
v287	snv	-0.79182	0	0.03029	0	-1.66435	1.41149	-1.91443
v288	snv	-0.79182	1	0.02896	0	-0.46395	0.65675	0.75876
v289	snv	-0.79182	0	0.01	0	1.93461	-0.94908	-0.03903
v290	snv	-0.79182	0	0.01	0	-0.78431	-0.30017	-0.67241
v291	snv	-0.79182	0	0.01	0	0.26643	0.83267	0.73234
v292	snv	-0.79182	0	0.01114	0	-0.54335	-1.46231	-2.47882
v293	duplication_short	1.77662	0	0.01	1	-0.21778	-0.02754	0.55884
v294	snv	-0.79182	0	0.01	0	-0.61134	0.35981	-0.67928
v295	deletion_long	1.71759	0	0.01	1	-0.07608	-0.47734	-0.1656
v296	snv	-0.79182	0	0.01129	0	-0.25108	0.39237	-1.16633
v297	other_complex_sv	0.86727	0	0.01	0	0.30137	-0.34741	-0.03423
v298	snv	-0.79182	1	0.06388	0	-1.99469	0.08302	0.06913
v299	other_complex_sv	0.34113	0	0.01776	0	-2.22836	0.78154	0.45731
v300	snv	-0.79182	0	0.01	0	-0.16656	0.07096	-0.2736
v301	duplication_short	1.78702	0	0.01	1	-0.10225	0.22641	-1.28489
v302	snv	-0.79182	0	0.01	0	0.29421	0.26067	0.10125
v303	small_indel	-0.11987	0	0.03276	0	0.30527	0.5697	0.87023
v304	snv	-0.79182	0	0.01796	0	-0.24942	-1.04956	-0.50728
v305	deletion_long	2.08279	0	0.01	1	1.44065	-1.08157	-0.16166
v306	snv	-0.79182	0	0.01	0	0.45848	-0.3826	-0.78061
v307	snv	-0.79182	0	0.06364	0	1.6713	0.65947	0.84136
v308	snv	-0.79182	0	0.01	0	-1.08684	2.15111	0.61465
v309	snv	-0.79182	0	0.01	0	-0.11582	0.63659	0.01325
v310	snv	-0.79182	0	0.01873	0	0.40574	-1.43698	-0.14661
v311	str_vntr_repeat	1.15301	1	0.01161	0	-0.52787	-1.74576	0.42685
v312	deletion_long	0.69005	0	0.06636	1	-2.05729	2.23946	1.29765
v313	snv	-0.79182	0	0.01	0	0.29568	-0.36724	-0.46077
v314	small_indel	-0.13827	0	0.01	0	-1.26201	-0.90577	-0.83987
v315	snv	-0.79182	0	0.01185	0	0.69684	-0.82593	-1.09813
v316	snv	-0.79182	0	0.01	0	-0.54002	-2.4066	-1.31668
v317	snv	-0.79182	0	0.02871	0	-0.45793	0.55629	-0.7657
v318	snv	-0.79182	0	0.20154	0	-0.36269	-0.82357	-0.39151
v319	snv	-0.79182	0	0.05139	0	1.74135	-0.38303	-0.096
v320	snv	-0.79182	0	0.03468	0	-0.98739	-0.50878	0.05019
v321	snv	-0.79182	0	0.08197	0	-1.20922	1.14579	-0.31464
v322	str_vntr_repeat	0.42344	1	0.01	0	-0.36689	-0.6245	-1.43269
v323	inversion_bnd_complex	1.74766	0	0.01	0	-0.76718	0.13573	-1.32835
v324	snv	-0.79182	0	0.25419	0	-0.6972	1.73072	-1.00564
v325	small_indel	-0.04622	0	0.16624	0	1.29365	-0.94223	-0.84689
v326	inversion_bnd_complex	0.44593	0	0.01508	0	0.35731	-1.30146	-0.19941
v327	insertion_mei	0.47024	0	0.01	0	-0.46307	0.32283	0.27189
v328	snv	-0.79182	0	0.03003	0	-0.13188	-0.369	0.19218
v329	snv	-0.79182	0	0.01	0	-0.11947	0.25449	0.8981
v330	insertion_mei	1.03534	0	0.01	0	0.489	0.09523	1.48434
v331	snv	-0.79182	0	0.06444	0	-0.4988	1.21308	0.27701
v332	duplication_long	2.03524	0	0.01963	1	0.67143	-0.45172	0.23572
v333	other_complex_sv	0.54795	0	0.01	0	-0.25001	1.6346	-1.24598
v334	duplication_long	1.40877	0	0.04151	1	0.17787	1.48875	0.52627
v335	snv	-0.79182	0	0.06756	0	-0.99074	0.42284	-0.71534
v336	insertion_mei	0.21636	0	0.01474	0	0.07424	-0.17433	-0.09992
v337	snv	-0.79182	0	0.01	0	-1.15961	0.82291	0.19927
v338	small_indel	-0.23383	0	0.04063	0	0.63071	-0.10581	0.55651
v339	snv	-0.79182	0	0.01	0	0.59395	-0.83901	0.51256
v340	snv	-0.79182	0	0.01	0	0.04487	1.8633	2.2473
v341	snv	-0.79182	0	0.06031	0	0.60131	-2.22286	-1.57316
v342	snv	-0.79182	0	0.01	0	-0.54969	-0.72717	1.72544
v343	snv	-0.79182	0	0.10359	0	-0.16878	0.15385	1.57379
v344	snv	-0.79182	0	0.01	0	0.54062	-0.33109	-1.22259
v345	snv	-0.79182	0	0.01	0	-0.03731	-0.83012	0.27787
v346	snv	-0.79182	0	0.2664	0	1.09693	0.25965	1.55161
v347	snv	-0.79182	0	0.02404	0	-1.58757	0.83495	0.00792
v348	deletion_short	0.84984	0	0.01	1	1.8712	0.31851	0.48907
v349	snv	-0.79182	0	0.01	0	1.27695	0.92103	-0.41633
v350	insertion_mei	0.39278	0	0.01	0	-0.03634	1.21939	-0.36175
v351	snv	-0.79182	0	0.01	0	-0.77403	0.53621	1.075
v352	snv	-0.79182	1	0.01	0	0.21143	-1.83919	0.3643
v353	snv	-0.79182	0	0.01	0	-1.64288	-0.4238	-0.44096
v354	deletion_short	0.49022	0	0.01	1	0.25978	-0.74891	-1.20351
v355	snv	-0.79182	0	0.01	0	0.33761	-1.1787	-1.74716
v356	deletion_short	0.46598	0	0.0158	1	0.13601	-1.12531	-1.32521
v357	deletion_short	0.18528	0	0.01	1	0.84232	-0.07436	0.53383
v358	snv	-0.79182	0	0.01	0	-0.40164	0.15137	2.59408
v359	snv	-0.79182	0	0.01	0	-1.47842	-0.12966	-0.92468
v360	snv	-0.79182	0	0.01	0	0.7872	-1.53126	0.28146
v361	str_vntr_repeat	1.84165	1	0.01	0	1.20125	-2.34101	-0.12025
v362	snv	-0.79182	0	0.01	0	-1.94753	0.70864	-1.20026
