variant_id	variant_class	sv_log_length	repeat_overlap	allele_frequency	is_copy_number	annotation_1	annotation_2	annotation_3
v29	deletion_long	1.67474	0	0.01	1	-0.89576	-0.31964	0.01204
v30	duplication_long	1.69042	0	0.0195	1	-0.73575	0.80457	-0.05076
v31	snv	-0.83601	0	0.01112	0	-0.00386	0.25768	0.37588
v32	str_vntr_repeat	0.14858	1	0.01	0	0.67737	-1.91043	0.50462
v33	snv	-0.83601	0	0.01	0	1.91311	0.35365	-0.27716
v34	inversion_bnd_complex	1.18966	0	0.05156	0	-1.11879	-0.08237	0.7944
v35	snv	-0.83601	0	0.11748	0	-0.90745	0.76549	-1.53029
v36	snv	-0.83601	0	0.01	0	-0.72246	-0.52825	-0.18351
v37	snv	-0.83601	0	0.01	0	0.08118	-0.13863	0.9219
v38	duplication_long	0.80288	0	0.06117	1	1.7609	0.62282	-0.76877
v39	snv	-0.83601	0	0.01	0	-0.40132	-0.5423	-1.73539
v40	snv	-0.83601	0	0.01629	0	-0.8425	-1.22582	2.51765
v41	deletion_long	1.59976	0	0.01	1	-1.17643	-1.15295	2.76814
v42	snv	-0.83601	0	0.01	0	-0.71382	-1.49205	-1.28775
v43	deletion_long	1.8255	0	0.01	1	-1.70939	-0.31599	-0.49692
v44	other_complex_sv	1.28075	0	0.01374	0	0.15127	-2.14105	-1.3305
v45	snv	-0.83601	0	0.01482	0	2.34526	-0.4396	1.9269
v46	deletion_short	1.59934	1	0.01	1	1.34879	0.7047	0.31245
v47	snv	-0.83601	0	0.04647	0	0.48966	-0.94848	-0.8253
v48	snv	-0.83601	0	0.02362	0	-1.20071	-0.56737	-0.67286
v49	duplication_long	0.32416	0	0.01	1	0.56096	-0.06216	0.0708
v50	small_indel	-0.50176	0	0.12159	0	0.13793	-0.77852	-0.46393
v51	snv	-0.83601	0	0.20885	0	-0.66883	0.23853	-0.34336
v52	small_indel	-0.60785	0	0.01	0	0.69546	0.85536	1.84559
v53	other_complex_sv	1.26987	0	0.01	0	0.20214	0.14167	1.3954
v54	duplication_short	0.89071	0	0.02176	1	-0.14313	-1.51498	0.39733
v55	snv	-0.83601	0	0.01	0	-2.11765	-0.43615	0.45293
v56	snv	-0.83601	0	0.01	0	1.49872	-0.41663	1.21069
v57	snv	-0.83601	0	0.22285	0	-0.77459	-0.39111	0.64738
v58	snv	-0.83601	0	0.25726	0	1.78958	0.6656	0.46277
v59	snv	-0.83601	0	0.07677	0	-0.02245	1.49269	0.97358
v60	duplication_short	0.77818	0	0.04567	1	1.3806	0.12002	1.54195
v61	small_indel	-0.11625	0	0.0302	0	0.22443	0.74018	0.10484
v62	snv	-0.83601	0	0.01	0	-0.39646	2.04227	-0.40332
v63	deletion_short	1.70913	0	0.1683	1	-0.08033	0.077	1.35647
v64	snv	-0.83601	0	0.01	0	1.20288	0.35407	-0.82063
v65	duplication_short	1.86607	0	0.01	1	1.89982	-0.10123	0.07877
v66	duplication_short	2.00723	0	0.01	1	0.39828	1.0854	0.09561
v67	snv	-0.83601	0	0.23643	0	0.3542	-0.26631	0.61326
v68	deletion_long	0.23213	0	0.06038	1	-1.22544	-0.92548	0.12896
v69	snv	-0.83601	0	0.04436	0	-0.77842	-1.64474	0.61437
v70	deletion_long	0.12058	0	0.01534	1	0.39005	0.10219	-0.44587
v71	snv	-0.83601	0	0.01	0	0.76891	-1.88005	0.02448
v72	snv	-0.83601	0	0.06365	0	-0.01509	0.84162	1.37752
v73	snv	-0.83601	0	0.01	0	-1.50708	0.71048	-0.05627
v74	deletion_short	1.49202	0	0.01	1	-0.23005	-0.09963	-0.84505
v75	snv	-0.83601	0	0.01	0	-2.15086	0.67456	-1.12616
v76	inversion_bnd_complex	1.04452	0	0.01	0	1.24438	1.13016	1.1501
v77	snv	-0.83601	0	0.01	0	-1.01223	-1.33677	0.85232
v78	deletion_long	0.57183	1	0.01	1	-0.21765	-1.2127	0.28593
v79	snv	-0.83601	1	0.11376	0	-0.09332	0.69216	0.73937
v80	snv	-0.83601	0	0.01984	0	-0.26346	-0.80602	0.49151
v81	insertion_mei	0.54559	0	0.01	0	0.54599	0.26587	1.00081
v82	snv	-0.83601	0	0.01	0	0.7612	0.31194	0.04676
v83	snv	-0.83601	0	0.01	0	0.45706	0.47691	1.34531
v84	snv	-0.83601	0	0.01	0	0.77538	0.93758	-3.03768
v85	str_vntr_repeat	1.88169	1	0.01	0	0.19543	-0.78468	1.55413
v86	snv	-0.83601	0	0.01	0	0.83097	0.74591	0.84884
v87	duplication_short	0.53089	0	0.02044	1	1.23849	1.01295	-0.87507
v88	snv	-0.83601	0	0.05835	0	-0.52608	0.6631	-1.69903
v89	snv	-0.83601	0	0.01	0	-0.57293	1.59449	0.48052
v90	snv	-0.83601	0	0.01	0	-1.92146	-0.82186	0.67326
v91	snv	-0.83601	0	0.05996	0	0.34477	-1.07182	-1.62848
v92	snv	-0.83601	0	0.08306	0	-0.19235	1.94775	0.02545
v93	snv	-0.83601	0	0.01316	0	0.7304	0.83362	1.01
v94	small_indel	-0.05977	0	0.01	0	0.67748	-0.02058	-0.95854
v95	snv	-0.83601	0	0.01	0	-2.20775	-1.60629	1.03349
v96	snv	-0.83601	0	0.16521	0	0.51503	1.41184	0.07071
v97	duplication_long	0.57365	0	0.01	1	0.04026	0.22246	0.9302
v98	snv	-0.83601	0	0.01	0	0.0983	0.73914	-0.0522
v99	snv	-0.83601	0	0.05074	0	0.1783	0.11225	0.80848
v100	snv	-0.83601	0	0.01	0	-1.60766	-0.51027	-0.66948
v101	snv	-0.83601	0	0.01	0	-0.97189	-1.24156	0.77531
v102	small_indel	-0.07516	0	0.01	0	-0.66811	1.34604	0.56652
v103	snv	-0.83601	0	0.21083	0	0.0758	0.54125	-1.70239
v104	duplication_short	0.41903	1	0.01	1	-2.10817	-0.29956	1.64303
v105	other_complex_sv	1.59841	0	0.01	0	1.09158	1.15085	0.52771
v106	str_vntr_repeat	1.01853	1	0.01	0	-1.0659	2.12466	-0.27174
v107	snv	-0.83601	0	0.09032	0	-1.54011	1.85946	-1.43528
v108	snv	-0.83601	0	0.01	0	-0.80077	-0.16918	-0.0025
v109	deletion_short	1.1303	0	0.02063	1	0.1105	-0.64405	2.18889
v110	other_complex_sv	1.42271	0	0.01	0	-1.04313	-1.48917	0.20836
v111	inversion_bnd_complex	0.77665	1	0.01	0	-1.95209	0.41014	0.15338
v112	small_indel	-0.60785	1	0.01	0	-1.04414	-0.21518	1.26746
v113	other_complex_sv	2.03146	1	0.01	0	1.19296	-0.56178	0.84027
v114	str_vntr_repeat	1.71	1	0.0269	0	-0.45648	-1.14676	2.11293
v115	snv	-0.83601	0	0.01	0	0.61182	-0.06427	-1.52869
v116	snv	-0.83601	0	0.01	0	1.69739	1.51495	-0.7627
v117	duplication_short	1.08989	0	0.01	1	-0.15931	0.60815	0.8472
v118	insertion_mei	1.14305	0	0.01	0	0.69548	-0.53748	-0.32816
v119	snv	-0.83601	0	0.08767	0	1.15258	-1.36187	1.29727
v120	duplication_long	1.90789	0	0.01	1	-0.58265	0.31464	-0.66026
v121	snv	-0.83601	0	0.01	0	-1.531	0.44743	-1.74348
v122	snv	-0.83601	1	0.01	0	-2.66024	2.15387	-1.07948
v123	duplication_long	0.48475	0	0.09743	1	-1.17281	-0.69755	-1.20915
v124	other_complex_sv	1.89256	0	0.01	0	1.32016	2.43257	-0.34987
v125	insertion_mei	0.76895	0	0.01	0	-0.51393	0.04227	-0.49908
v126	snv	-0.83601	0	0.01	0	-0.29763	0.64855	-0.7617
v127	snv	-0.83601	0	0.01153	0	0.52631	-0.12961	1.20014
v128	snv	-0.83601	0	0.01	0	-0.94942	0.55941	0.29123
v129	duplication_short	0.54701	0	0.01793	1	0.16213	-1.37999	-0.23899
v130	snv	-0.83601	0	0.01	0	-0.45853	-0.26649	0.13507
v131	snv	-0.83601	0	0.01	0	-0.75964	1.0219	-0.72434
v132	snv	-0.83601	0	0.01	0	0.00365	1.11648	0.66242
v133	snv	-0.83601	0	0.03596	0	-1.16932	1.36078	-0.88639
v134	snv	-0.83601	0	0.02082	0	-0.29559	-1.21929	-1.60016
v135	deletion_long	0.44646	0	0.01	1	1.40771	-0.68259	-2.17885
v136	snv	-0.83601	0	0.01643	0	1.26146	0.02154	-1.35373
v137	snv	-0.83601	0	0.03503	0	-0.5145	-0.65012	-1.34975
v138	other_complex_sv	0.69092	0	0.01	0	0.64136	-1.44936	0.09134
v139	duplication_long	1.93015	1	0.01	1	-0.42449	-2.26291	0.36523
v140	snv	-0.83601	0	0.02858	0	0.87045	1.01975	0.67316
v141	deletion_short	0.27834	1	0.01511	1	0.7151	-1.29426	-2.12632
v142	insertion_mei	1.18065	0	0.01	0	0.03133	0.06631	0.9615
v143	snv	-0.83601	0	0.03248	0	-1.16232	-0.35645	0.94871
v144	deletion_long	1.12909	1	0.01048	1	-1.44446	0.65195	-1.06968
v145	snv	-0.83601	0	0.01106	0	-0.4483	0.38629	1.05147
v146	snv	-0.83601	0	0.01	0	-1.24178	0.84967	-1.43735
v147	other_complex_sv	0.88613	0	0.05263	0	-0.36285	-1.66157	-3.2087
v148	deletion_long	1.70793	0	0.01	1	-0.71136	-1.61173	0.9804
v149	snv	-0.83601	0	0.18345	0	1.20031	-0.68228	0.49233
v150	snv	-0.83601	0	0.0326	0	-0.01381	0.74952	-0.88099
v151	insertion_mei	1.22549	0	0.01302	0	0.80614	-0.63627	-0.09006
v152	duplication_long	0.59211	0	0.01	1	-1.04772	-1.49391	0.03003
v153	snv	-0.83601	0	0.2022	0	0.05215	-1.27759	0.65839
v154	snv	-0.83601	1	0.03569	0	0.33729	-0.31225	-0.06753
v155	snv	-0.83601	0	0.0214	0	-0.33621	0.83875	-0.10103
v156	snv	-0.83601	0	0.01	0	-1.30287	1.37858	-1.48285
v157	other_complex_sv	1.02744	0	0.01	0	2.16307	-0.3963	-0.52122
v158	duplication_long	0.13706	0	0.01	1	0.01765	0.12498	-1.63083
v159	insertion_mei	1.6598	0	0.04855	0	0.51965	-1.02836	0.16038
v160	snv	-0.83601	1	0.01	0	-1.38448	0.8222	0.18974
v161	duplication_short	0.68557	0	0.01	1	1.01644	0.04394	2.32533
v162	deletion_short	0.48665	0	0.01141	1	-0.00586	0.3311	-0.76546
v163	snv	-0.83601	0	0.06271	0	-0.95326	-0.87991	-0.06698
v164	other_complex_sv	1.4981	0	0.01	0	-0.33805	1.92121	0.8099
v165	deletion_short	0.13682	0	0.01	1	-0.55511	-0.79299	-2.10331
v166	snv	-0.83601	0	0.01	0	1.35377	-1.78793	0.32691
v167	snv	-0.83601	0	0.02396	0	1.31541	0.19104	0.46803
v168	deletion_short	1.9357	0	0.01	1	0.77656	-0.44888	0.03988
v169	deletion_short	1.37001	1	0.08059	1	-0.65248	-0.84905	0.5659
v170	snv	-0.83601	0	0.05026	0	0.34131	0.2334	0.45402
v171	insertion_mei	0.53494	0	0.0459	0	0.26685	-0.21178	-0.33345
v172	deletion_short	1.06937	0	0.01	1	-1.80838	0.62254	-2.15113
v173	snv	-0.83601	0	0.02564	0	-1.01134	-0.02688	0.00379
v174	snv	-0.83601	0	0.01	0	0.13187	-2.36197	1.57108
v175	deletion_short	1.50757	0	0.01	1	-0.15991	-0.20939	-2.01575
v176	snv	-0.83601	0	0.04691	0	-0.5441	1.02757	0.01833
v177	duplication_short	1.44647	0	0.01076	1	0.2963	-0.54406	-0.89435
v178	other_complex_sv	0.14301	0	0.01	0	0.63499	-0.64524	-0.69174
v179	deletion_long	1.94983	1	0.01	1	0.00696	1.72094	-1.96226
v180	duplication_long	1.47908	0	0.01	1	0.11614	-0.7975	-0.21097
v181	small_indel	-0.10366	0	0.01	0	-1.59055	1.25449	1.32705
v182	snv	-0.83601	1	0.04461	0	0.44137	-0.30227	-0.86462
v183	str_vntr_repeat	0.9377	1	0.01874	0	-0.64176	0.43371	0.84223
v184	deletion_long	0.82913	0	0.01	1	-0.41365	0.32727	-1.19846
v185	insertion_mei	1.72055	0	0.01	0	-0.53832	0.41612	-0.60364
v186	snv	-0.83601	0	0.01	0	0.92589	-0.45173	0.03217
v187	deletion_long	0.91704	0	0.01	1	1.59078	0.27405	-1.15417
v188	snv	-0.83601	0	0.01	0	-0.25399	0.58397	-0.44238
v189	other_complex_sv	1.94597	0	0.01	0	1.89913	-1.45293	0.63738
v190	snv	-0.83601	0	0.01	0	1.30696	1.15334	0.80423
v191	str_vntr_repeat	1.8925	1	0.0305	0	-0.75422	0.82624	0.6177
v192	insertion_mei	1.87567	0	0.01	0	-0.48261	-0.22138	0.87374
v193	deletion_long	2.00163	0	0.01	1	2.25234	0.649	1.42826
v194	small_indel	-0.09178	0	0.01585	0	0.69561	1.43945	-1.21618
v195	inversion_bnd_complex	0.96106	0	0.01	0	0.18916	0.90849	-0.08596
v196	small_indel	-0.18483	0	0.01	0	-0.26238	1.63888	2.07407
v197	other_complex_sv	0.16371	1	0.01	0	0.03635	-0.40023	0.24328
v198	snv	-0.83601	0	0.01	0	0.89331	-0.24722	-0.21469
v199	snv	-0.83601	0	0.01	0	-1.31987	-0.11994	0.36582
v200	insertion_mei	1.24865	0	0.01	0	-0.38807	1.94164	0.8707
v201	snv	-0.83601	0	0.1065	0	0.00432	-1.35925	1.22172
v202	snv	-0.83601	0	0.01	0	0.63836	-0.06978	0.88705
v203	snv	-0.83601	1	0.11023	0	0.66484	0.21796	2.55911
v204	snv	-0.83601	0	0.01	0	-0.48976	1.21188	0.55962
v205	snv	-0.83601	0	0.01717	0	-0.44087	-1.14288	-0.79947
v206	insertion_mei	1.88831	0	0.01	0	-0.43282	-0.66376	-0.54187
v207	snv	-0.83601	0	0.07712	0	-0.36308	1.27758	1.93601
v208	deletion_short	0.54756	0	0.01558	1	0.42174	0.36223	-0.55761
v209	snv	-0.83601	0	0.02333	0	0.41203	0.13806	1.11967
v210	snv	-0.83601	0	0.01	0	-1.90687	-0.0785	-0.07233
v211	snv	-0.83601	0	0.03828	0	0.63937	-0.82549	-0.16035
v212	snv	-0.83601	0	0.01226	0	-1.88769	0.74667	0.31761
v213	deletion_long	0.26974	0	0.01	1	1.41168	0.33179	0.99908
v214	duplication_long	1.23522	0	0.01	1	-0.55225	0.28565	-1.74439
v215	other_complex_sv	1.58863	0	0.01365	0	1.02032	0.043	-1.06081
v216	snv	-0.83601	0	0.01	0	0.59423	-1.80601	0.13453
v217	snv	-0.83601	0	0.01955	0	0.49051	-0.07931	-1.10195
v218	snv	-0.83601	0	0.04982	0	-0.0051	0.0919	0.89562
v219	snv	-0.83601	1	0.19738	0	-0.51427	-1.78927	-0.00178
v220	snv	-0.83601	0	0.01	0	-1.00595	-0.66522	2.17184
v221	snv	-0.83601	0	0.01	0	-1.14495	0.6861	-1.58542
v222	duplication_short	0.91143	0	0.01	1	0.65267	0.90025	2.15505
v223	snv	-0.83601	0	0.01801	0	2.01102	-0.80689	-1.01872
v224	duplication_short	0.39674	0	0.01	1	-0.41344	-0.65772	-1.51181
v225	snv	-0.83601	0	0.01	0	-0.47606	-0.24493	-2.0645
v226	snv	-0.83601	0	0.01908	0	1.2154	-0.49778	1.39305
v227	duplication_long	0.93521	1	0.01	1	-1.24241	0.87511	-1.78858
v228	other_complex_sv	1.35584	0	0.01	0	1.80465	0.09303	1.7053
v229	snv	-0.83601	0	0.06663	0	-0.69108	1.09149	2.04517
v230	snv	-0.83601	0	0.06128	0	-0.6746	0.97002	-0.95561
v231	duplication_short	0.19356	0	0.01	1	-0.034	-0.68215	-1.36318
v232	inversion_bnd_complex	0.34003	0	0.01	0	-0.41205	-0.55498	-0.53567
v233	insertion_mei	1.40371	0	0.03355	0	-0.54714	1.06654	-0.33316
v234	snv	-0.83601	0	0.01	0	0.42016	1.19717	-0.37101
v235	snv	-0.83601	0	0.01	0	-0.94553	-0.42547	1.43643
v236	snv	-0.83601	0	0.02133	0	-1.72945	1.19199	0.96425
v237	inversion_bnd_complex	1.63109	0	0.01	0	-0.86853	-0.32248	0.20387
v238	small_indel	-0.13669	0	0.01	0	2.18979	0.03762	1.9833
v239	snv	-0.83601	0	0.01	0	-1.16805	-1.51504	-0.71061
v240	str_vntr_repeat	0.46685	1	0.01	0	0.26375	-0.61818	-0.50883
v241	snv	-0.83601	1	0.01259	0	-0.98468	0.2947	-0.17588
v242	snv	-0.83601	0	0.01577	0	-0.93318	-0.93123	0.01146
v243	snv	-0.83601	0	0.17405	0	-1.00835	-0.49567	0.15607
v244	snv	-0.83601	0	0.01	0	-0.75611	0.39308	-0.78408
v245	snv	-0.83601	0	0.01	0	-0.22299	1.01025	0.83033
v246	snv	-0.83601	0	0.01866	0	1.20582	-0.42011	0.20029
v247	snv	-0.83601	0	0.05318	0	-0.39649	0.56529	-1.05452
v248	snv	-0.83601	0	0.01	0	0.29284	0.40019	-1.12011
v249	snv	-0.83601	0	0.09205	0	-0.38065	1.12694	-1.82741
v250	snv	-0.83601	0	0.01	0	-0.37319	0.3485	0.14737
v251	deletion_short	1.84238	0	0.01	1	2.08246	2.32478	-0.70032
v252	duplication_long	2.0095	0	0.01	1	-1.47592	-0.31774	-1.58891
v253	other_complex_sv	0.54779	0	0.01	0	0.86771	1.93373	1.16089
v254	duplication_long	0.34654	1	0.01	1	-1.52092	-0.0533	-0.53164
v255	snv	-0.83601	0	0.0287	0	-0.92688	0.35143	0.12626
v256	snv	-0.83601	0	0.04172	0	-0.018	-1.63562	-2.5882
v257	snv	-0.83601	1	0.01	0	-1.09039	-1.27381	0.91465
v258	snv	-0.83601	0	0.01889	0	0.1189	-0.44921	0.3811
v259	deletion_long	1.52973	0	0.01	1	0.30318	-0.96114	-0.47201
v260	deletion_short	1.56617	0	0.08181	1	0.80927	1.35736	0.54298
v261	snv	-0.83601	0	0.01	0	1.08423	-0.29742	-0.47485
v262	snv	-0.83601	0	0.01	0	1.93067	1.16646	0.7901
v263	snv	-0.83601	0	0.01	0	-1.21324	-0.6629	0.37164
v264	duplication_long	0.33927	0	0.01253	1	-1.38938	-0.10864	-0.34029
v265	snv	-0.83601	0	0.02054	0	-0.74792	1.62498	-1.12477
v266	snv	-0.83601	0	0.04289	0	0.48077	0.66799	-0.95534
v267	other_complex_sv	0.4325	0	0.01	0	0.81611	1.02899	-1.12645
v268	str_vntr_repeat	0.26269	1	0.01	0	-0.87166	-0.47915	-0.65403
v269	snv	-0.83601	0	0.01545	0	0.70717	0.21121	-1.11544
v270	snv	-0.83601	0	0.02865	0	0.8973	0.86482	-0.26363
v271	inversion_bnd_complex	1.28339	0	0.01	0	0.18216	-0.43462	1.94092
v272	deletion_long	1.16841	0	0.07711	1	0.55519	-0.49067	-0.40206
v273	duplication_short	1.32409	0	0.01	1	0.75855	1.02783	-0.31173
v274	snv	-0.83601	0	0.01	0	1.29009	0.86764	-1.78184
v275	duplication_long	1.38405	0	0.01	1	1.26156	-1.46378	0.44251
v276	snv	-0.83601	0	0.01	0	-0.13898	0.87288	0.19959
v277	snv	-0.83601	0	0.01	0	0.93356	-0.55463	1.26552
v278	snv	-0.83601	0	0.01	0	-2.08875	1.33399	-0.70064
v279	deletion_long	0.54999	0	0.01254	1	0.13321	0.29786	-1.8572
v280	snv	-0.83601	0	0.01	0	0.22216	1.01985	-0.05833
v281	snv	-0.83601	0	0.02103	0	0.06762	0.05716	-0.90009
v282	inversion_bnd_complex	0.39642	0	0.01	0	0.46739	-0.35708	0.28797
v283	duplication_short	1.99139	0	0.01	1	1.28117	1.77603	-0.72115
v284	inversion_bnd_complex	1.59511	0	0.01	0	-1.02522	-1.51548	-0.49831
v285	snv	-0.83601	0	0.01	0	-1.33854	-0.03542	0.11889
v286	snv	-0.83601	0	0.01942	0	-1.52767	-0.31115	1.06541
v287	deletion_long	0.79519	0	0.01	1	0.75463	1.17873	0.06564
v288	other_complex_sv	1.57961	0	0.01457	0	-0.14563	0.75799	-1.72606
v289	snv	-0.83601	0	0.01	0	2.2379	-0.23958	-0.42923
v290	deletion_short	1.61091	0	0.01	1	0.66976	0.86632	-0.19402
v291	snv	-0.83601	0	0.08471	0	0.83467	1.05082	1.28435
v292	deletion_short	0.94903	1	0.01	1	-0.71783	-0.82762	0.0481
v293	snv	-0.83601	0	0.01	0	-0.38103	-0.86996	-1.00008
v294	str_vntr_repeat	0.31455	1	0.01	0	-0.67575	-0.70894	0.92245
v295	snv	-0.83601	0	0.02743	0	0.02503	-0.04679	-1.81981
v296	snv	-0.83601	0	0.01	0	-0.33631	-1.09059	-0.46036
v297	insertion_mei	1.38042	0	0.01	0	2.23521	1.49244	-0.07552
v298	snv	-0.83601	0	0.04371	0	-0.84948	1.28998	-0.03306
v299	deletion_long	1.81694	0	0.01	1	-0.34731	0.41349	-0.8542
v300	small_indel	-0.09178	0	0.06915	0	0.91028	0.43066	0.42133
v301	deletion_long	1.97041	0	0.01	1	1.3203	0.41104	0.01577
v302	snv	-0.83601	0	0.01283	0	-2.66898	0.21733	1.83876
v303	small_indel	-0.43188	0	0.01	0	-1.14451	0.69232	-1.63999
v304	snv	-0.83601	0	0.04263	0	0.66053	0.54252	-0.97844
v305	snv	-0.83601	0	0.01217	0	0.29688	0.5606	-0.1464
v306	duplication_long	1.40964	0	0.01084	1	0.18113	0.56386	-0.82032
v307	deletion_short	0.97976	0	0.0343	1	0.49503	-0.58076	0.67429
v308	insertion_mei	0.65242	0	0.01	0	1.59248	0.46157	1.02132
v309	snv	-0.83601	0	0.01041	0	-0.32921	0.66257	-0.26678
v310	duplication_long	0.4036	0	0.01	1	0.38727	-1.6063	1.36987
v311	snv	-0.83601	0	0.15311	0	0.31494	0.07185	0.41062
v312	deletion_short	0.79383	0	0.01	1	0.23179	0.89218	1.3303
v313	other_complex_sv	1.1501	0	0.01	0	0.52155	-2.59633	1.02987
v314	duplication_long	1.30965	0	0.01	1	0.35718	0.69375	-0.28868
v315	small_indel	-0.07516	0	0.08548	0	0.27637	-0.63866	-2.01457
v316	str_vntr_repeat	1.81061	1	0.01	0	-0.04209	-0.22261	-0.15017
v317	deletion_short	0.69464	0	0.01	1	0.05369	-0.07332	-0.20762
v318	str_vntr_repeat	1.3298	1	0.01	0	-2.17403	0.35662	1.14799
v319	snv	-0.83601	0	0.0245	0	0.0593	0.03275	-0.81962
v320	snv	-0.83601	0	0.01	0	-1.4985	0.52833	-0.1531
v321	snv	-0.83601	0	0.01278	0	1.76981	-0.5958	-0.81615
v322	deletion_short	1.1611	0	0.0107	1	0.21415	-1.59606	-0.46768
v323	snv	-0.83601	0	0.01	0	-0.90472	0.36467	1.05503
v324	snv	-0.83601	1	0.01	0	1.23237	2.03506	0.55799
v325	snv	-0.83601	1	0.14151	0	0.08683	-0.96794	0.08853
v326	insertion_mei	0.25272	0	0.01	0	0.26084	0.15313	-0.21905
v327	snv	-0.83601	0	0.01	0	-0.47072	1.10856	-1.16983
v328	other_complex_sv	0.31531	0	0.01	0	-0.48399	-0.40692	0.21158
v329	snv	-0.83601	0	0.01	0	-1.26631	-0.80405	0.10453
v330	snv	-0.83601	0	0.01	0	0.03865	0.79685	0.03903
v331	snv	-0.83601	0	0.01	0	0.03476	-0.65506	1.25739
v332	other_complex_sv	1.78414	0	0.01	0	0.50423	0.29135	-0.13727
v333	snv	-0.83601	0	0.01067	0	0.53142	-0.75137	-0.38264
v334	inversion_bnd_complex	1.96472	0	0.01	0	-0.69205	-0.96437	-1.6088
v335	snv	-0.83601	0	0.01	0	0.44516	-2.02186	1.10594
v336	snv	-0.83601	0	0.01	0	0.14725	-0.74191	2.4337
v337	snv	-0.83601	0	0.01	0	0.98051	-0.68356	-1.64516
v338	snv	-0.83601	0	0.03879	0	0.522	-0.81214	0.3364
v339	str_vntr_repeat	1.22087	1	0.01	0	-2.66833	-0.37901	-1.09797
v340	deletion_long	1.88308	0	0.02039	1	0.096	-1.89188	-0.50815
v341	str_vntr_repeat	0.68697	1	0.01	0	-0.64828	-0.95942	0.48219
v342	deletion_short	0.20086	0	0.04403	1	2.46486	-1.57838	0.12528
v343	other_complex_sv	1.32928	1	0.01	0	-0.55467	-0.46202	-0.06788
v344	snv	-0.83601	0	0.01	0	0.6758	0.14974	0.58248
v345	deletion_long	0.97208	0	0.01	1	-0.65356	-0.3283	-1.47425
v346	snv	-0.83601	0	0.01	0	-1.13062	-0.27814	0.40946
v347	snv	-0.83601	0	0.14327	0	-0.05983	0.42588	0.66593
v348	other_complex_sv	0.54224	0	0.01611	0	-0.29388	0.58812	0.61329
v349	deletion_long	1.34335	0	0.01	1	-0.1477	-1.71389	1.62111
v350	deletion_long	1.2761	0	0.01	1	-1.97503	0.94253	0.49464
v351	duplication_short	0.50127	0	0.01	1	-0.10659	0.81412	0.00089
v352	snv	-0.83601	0	0.01182	0	0.1926	-0.93424	1.255
v353	snv	-0.83601	1	0.0158	0	-0.93532	-1.31794	-0.47974
v354	snv	-0.83601	0	0.23996	0	-0.95787	-2.01165	0.09495
v355	other_complex_sv	0.88716	0	0.01	0	1.11038	0.79622	-1.96268
v356	snv	-0.83601	0	0.11144	0	-0.663	0.45887	-1.97744
v357	insertion_mei	1.27887	0	0.01	0	0.20586	-0.30867	-0.5308
v358	snv	-0.83601	0	0.01	0	0.83927	0.68217	-1.32458
v359	small_indel	-0.31994	0	0.01	0	-1.47366	1.52375	-0.75664
v360	deletion_short	0.46888	0	0.0102	1	0.86933	-0.75413	-1.01004
v361	snv	-0.83601	0	0.02056	0	-2.41775	-0.21865	-0.91419
